name,url,token,price,city,desc,full_desc
پژو 206 تیپ ۲، مدل ۱۳۹۵,https://divar.ir/v/پژو-206-تیپ-۲،-مدل-۱۳۹۵/gZhykLpm,gZhykLpm,400000000,اصفهان,"۸۰,۰۰۰ کیلومتر",پژو 206 تیپ ۲، مدل ۱۳۹۵|سواری و وانت|اصفهان، بزرگمهر|خرید و فروش قیمت مقطوع| سایت ثبت آگهی، نیازمندی و خرید و فروش دیوار
پژو 206 تیپ ۲، مدل ۱۳۹۷,https://divar.ir/v/پژو-206-تیپ-۲،-مدل-۱۳۹۷/gZhyEELx,gZhyEELx,455000000,شیراز,"۱۰۳,۰۰۰ کیلومتر","پژو 206 تیپ ۲، مدل ۱۳۹۷|سواری و وانت|شیراز، معالی‌آباد|خرید و فروش روغن تازه عوض شده
۲ تا خط بدون رنگ| سایت ثبت آگهی، نیازمندی و خرید و فروش دیوار"
پژو 206 تیپ ۵، مدل ۱۳۹۶,https://divar.ir/v/پژو-206-تیپ-۵،-مدل-۱۳۹۶/gZhS0vZz,gZhS0vZz,485000000,تهران,"۸۱,۰۰۰ کیلومتر","پژو 206 تیپ ۵، مدل ۱۳۹۶|سواری و وانت|تهران، مجیدآباد|خرید و فروش سالم و بی خط و خش،بسیار تمیز
فنی و موتوری عالی
کم کار 
سرویس ها به موقع انجام شده 
باطری نو،دیسک و صفحه نو،شیشه دودی،چرم دور فرمان ،کفی سه بعدی،قفل کاپوت ،تازه گاز کولر شارژ شده،۱۱ ماه بیمه و ۶ سال تخفیف بیمه،جلوبندی سالم ،تسمه دینام و هرزگرد تازه تعویض شده و... 
مناسب مصرف کننده
لطفا با احترام عزیزان دلال تماس نگیرند| سایت ثبت آگهی، نیازمندی و خرید و فروش دیوار"
۲۰۶تیپ ۲ اتاق تعویض۱۴۰۰,https://divar.ir/v/۲۰۶تیپ-۲-اتاق-تعویض۱۴۰۰/gZXaXNAc,gZXaXNAc,339000000,تهران,"۸۶,۰۰۰ کیلومتر","۲۰۶تیپ ۲ اتاق تعویض۱۴۰۰|سواری و وانت|تهران، بریانک|خرید و فروش خودرو مدل۹۶اتاق تعویض ۱۴۰۰-ثبت شده در سند قانونی -
خودرو بی رنگ و شاسی ها سالمه فقط انداز دوتا  کف دست گوشه کاپوت آب رنگ شده- تو عکس اخر  مشخص کردم )
فنی سالم بدونه خرج-کولر ب تازگی مبلغ  ۵ میلیون کاملا سرویس شده سالم-مصرفی ها (باطری -تسمه تایم--جفت سنسور. اکسیژن .دینام .همگی تعویض شده -دریچه گاز سیمی .-کفی س بعدی روکش .دو جفت میدرنج .کف پوش-فنی ریالی خرج نداره موتور بدون صدا اضافی ..قیمت پایین گذاشتم ب علت نیاز مالی-معاوضه ندارم| سایت ثبت آگهی، نیازمندی و خرید و فروش دیوار"
پژو 206 تیپ ۳ پانوراما، مدل ۱۴۰۱,https://divar.ir/v/پژو-206-تیپ-۳-پانوراما،-مدل-۱۴۰۱/gZhukKy4,gZhukKy4,565000000,تهران,"۲۵,۰۰۰ کیلومتر",پژو 206 تیپ ۳ پانوراما، مدل ۱۴۰۱|سواری و وانت|تهران، یافت‌آباد|خرید و فروش سقف شیشه ای بدنه سرامیک.بیمه بدنه یکسال.مانیتور.روکش دوربین و ردیاب و لوازم دیگه.گارانتی فعال.نوک کاپوت جزیی رنگ .معاوضه با دنا پلاس اتومات تا مدل ۴۰۲| سایت ثبت آگهی، نیازمندی و خرید و فروش دیوار
پژو 206 تیپ ۶، مدل ۱۳۸۴,https://divar.ir/v/پژو-206-تیپ-۶،-مدل-۱۳۸۴/gZhqkpWk,gZhqkpWk,370000000,تهران,"۲۰۰,۱۰۰ کیلومتر",پژو 206 تیپ ۶، مدل ۱۳۸۴|سواری و وانت|تهران، مرزداران|خرید و فروش با سلام ۲۰۶ تیپ ۶ مدل ۸۴ ماشین فرانسوی هست تمام وسیله های ماشین فابریک هست لوازم مصرفی به تازگی تعویض شده است ماشین بدون رنگ میباشد ماشین سپرهاشم رنگ نمی باشد سال ۱۳۸۵ دست ما است  کاکرد و بدون رنگ بودن ماشین به شرط کارشناسی| سایت ثبت آگهی، نیازمندی و خرید و فروش دیوار
پژو 206 تیپ ۲، مدل ۱۳۸۴,https://divar.ir/v/پژو-206-تیپ-۲،-مدل-۱۳۸۴/gZhqEmdI,gZhqEmdI,198000000,تهران,"۳۰۰,۰۰۰ کیلومتر",پژو 206 تیپ ۲، مدل ۱۳۸۴|سواری و وانت|تهران، کوثر|خرید و فروش ماشین از نظر فنی هیچ مشکلی نداره  سقف و ستون سالم  همه ی مصرفی ها به تازگی عوض شده روکش نو شیشه ها دودی داخل کابین بسیار تمیز فقط همون‌طور که تو عکس مشخصه سقف یه کم آفتاب سوخته شده سینی شاسی جلو یه کم ضربه خورده| سایت ثبت آگهی، نیازمندی و خرید و فروش دیوار
پژو 206 تیپ ۳، مدل ۱۳۸۷,https://divar.ir/v/پژو-206-تیپ-۳،-مدل-۱۳۸۷/gZhmkQDA,gZhmkQDA,262000000,تهران,"۴۵۰,۰۰۰ کیلومتر","پژو 206 تیپ ۳، مدل ۱۳۸۷|سواری و وانت|تهران، جنت‌آباد شمالی|خرید و فروش ماشین واقعا سالمه
موتور تازه تعمیر 
گیربکس تازه تعمیر 
تسمه ها نو
باتری نو
ماشین سالمه
به شرط کارشناسی عکسشم هست 
فوری فروشی
نیاز به پول دارم
معاوضه ام‌ نمیکنم| سایت ثبت آگهی، نیازمندی و خرید و فروش دیوار"
فنر,https://divar.ir/v/فنر/gZhiE4zj,gZhiE4zj,950000,اصفهان,-1,"فنر|قطعات یدکی و لوازم جانبی خودرو|اصفهان، دولت‌آباد|خرید و فروش فنرلول کمک فنر جلو پژو۲۰۶ فابریکی ایرانخودرو
این فنرا مال ۲۰۶بوده،چندماهی بیشتر زیرماشین نبوده و بخاطر تغییر ارتفاع عوض کردم
مناسب ۲۰۶،پژو پارس و پژو ۴۰۵| سایت ثبت آگهی، نیازمندی و خرید و فروش دیوار"
پژو 206 تیپ ۲، مدل ۱۳۹۹,https://divar.ir/v/پژو-206-تیپ-۲،-مدل-۱۳۹۹/gZhiUXCK,gZhiUXCK,470000000,تهران,"۵۸,۰۰۰ کیلومتر",پژو 206 تیپ ۲، مدل ۱۳۹۹|سواری و وانت|تهران، سعادت‌آباد|خرید و فروش ۲۰۶ سفید بدون رنگ ۹۹| سایت ثبت آگهی، نیازمندی و خرید و فروش دیوار
